layer,head,mean_delta_h1,std_delta_h1,n_prompts,role,stability
15,26,0.004961279034614563,0.029100799507869084,40,neutral,0.85
15,27,6.690621376037598e-06,0.012409299626175572,40,neutral,0.95
15,28,-0.07690469995935792,0.027018571030899347,40,bridge,0.925
15,29,-0.04247904344328812,0.03708705777847926,40,bridge,0.625
15,30,-0.052876916930434247,0.03860601984039809,40,bridge,0.75
15,31,-0.004110589623451233,0.023727722320661646,40,neutral,0.875
16,0,-0.039342977706756856,0.03340745127593589,40,bridge,0.6
16,1,-0.04605555566885169,0.03287906667353974,40,bridge,0.675
16,2,-0.04358871367479127,0.03375864138234268,40,bridge,0.65
16,3,-0.044413320741483145,0.03307392133579165,40,bridge,0.675
16,4,-0.006877734512090683,0.018562861520703876,40,neutral,0.875
16,5,-0.002752251923084259,0.012197400446176971,40,neutral,0.95
16,6,-0.0013058483600616455,0.00825891019318091,40,neutral,0.975
16,7,-0.006965862214565277,0.01868963089588665,40,neutral,0.875
16,8,-0.013374315202236175,0.029342580011547173,40,neutral,0.8
16,9,-0.012250752747058868,0.03267396527940419,40,neutral,0.65
16,10,-0.003470426797866821,0.019292857914758422,40,neutral,0.9
16,11,-0.011004599928855895,0.022307702167097685,40,neutral,0.8
16,12,-0.008886545896530151,0.026505599477882304,40,neutral,0.8
16,13,-0.006612818688154221,0.027374118614998232,40,neutral,0.8
16,14,-0.0005299858748912811,0.016263066526146425,40,neutral,0.925
16,15,0.0,0.0,40,neutral,1.0
16,16,0.0,0.0,40,neutral,1.0
16,17,-0.0013016164302825928,0.008232145119181512,40,neutral,0.975
16,18,-0.001272454857826233,0.008047711140953255,40,neutral,0.975
16,19,-0.004564791917800903,0.016389185585024592,40,neutral,0.925
16,20,-0.0803928122397453,0.02644781050162816,40,bridge,0.975
16,21,-0.04307335827294224,0.03826377112538233,40,bridge,0.6
16,22,-0.020050367961327233,0.030278900994760494,40,neutral,0.675
16,23,-0.0755501107482339,0.020112408424730145,40,bridge,0.975
16,24,-0.010781057391847882,0.030180513160717678,40,neutral,0.725
16,25,-0.022828093419472374,0.040338974098008996,40,neutral,0.6
16,26,-0.021207734073201815,0.03356698003462004,40,neutral,0.7
16,27,-0.010719354450702667,0.03259541256165145,40,neutral,0.725
16,28,0.002166748046875,0.01370371788769256,40,neutral,0.975
16,29,0.00150146484375,0.009496097465837662,40,neutral,0.975
16,30,0.0,0.0,40,neutral,1.0
16,31,0.0,0.0,40,neutral,1.0
17,0,-0.005347147583961487,0.026160766316819087,40,neutral,0.875
17,1,0.0,0.0,40,neutral,1.0
17,2,-0.0019486144185066224,0.012324119687850979,40,neutral,0.975
17,3,-0.007879321277141572,0.02130378228445432,40,neutral,0.875
17,4,-0.0025236815214157104,0.023290087863652192,40,neutral,0.9
17,5,-0.0015707105398178101,0.009934045701313753,40,neutral,0.975
17,6,0.0,0.0,40,neutral,1.0
17,7,-0.004111401736736298,0.01988069435698621,40,neutral,0.875
17,8,-0.03811364347736041,0.03270770463679009,40,bridge,0.6
17,9,-0.01725940629839897,0.026796474155354487,40,neutral,0.7
17,10,-0.009215877950191497,0.022833218057140513,40,neutral,0.85
17,11,-0.004319734126329422,0.015749284886568043,40,neutral,0.925
17,12,0.0,0.0,40,neutral,1.0
17,13,0.0018280029296875,0.01156130565454626,40,neutral,0.975
17,14,-0.0014291316270828246,0.009038622035528208,40,neutral,0.975
17,15,-0.0012510821223258972,0.007912538092934457,40,neutral,0.975
17,16,-0.01107903818289439,0.02485981715881909,40,neutral,0.825
17,17,-0.013669496029615402,0.026088882187609224,40,neutral,0.775
17,18,-0.010654272884130478,0.02385274726788607,40,neutral,0.825
17,19,-0.002713438868522644,0.011984283826091732,40,neutral,0.95
17,20,-0.0036696940660476685,0.01642639680695028,40,neutral,0.95
17,21,-0.013223483165105184,0.027538367955177487,40,neutral,0.8
17,22,-0.0016187608242034912,0.010237942383068908,40,neutral,0.975
17,23,-0.005838757008314132,0.017735970833697358,40,neutral,0.9
17,24,-0.02343637446562449,0.03123681443355748,40,neutral,0.625
17,25,-0.01892826979358991,0.02788535777973048,40,neutral,0.675
17,26,-0.01651744544506073,0.027510285745568352,40,neutral,0.725
17,27,-0.014794368296861649,0.026225465139403305,40,neutral,0.75
17,28,-0.01964630981286367,0.029016503473320816,40,neutral,0.675
17,29,-0.025094873458147048,0.03184430270930072,40,neutral,0.575
17,30,-0.006893204152584076,0.03378811426933949,40,neutral,0.725
17,31,-0.012733164429664611,0.025994815428099855,40,neutral,0.8
18,0,-0.010233511030673981,0.02269346956821972,40,neutral,0.825
18,1,-0.004444161057472229,0.01592478254246686,40,neutral,0.925
18,2,-0.0044062182307243345,0.015760980717050746,40,neutral,0.925
18,3,-0.0016863256692886352,0.010665259983519883,40,neutral,0.975
18,4,-0.02288229823112488,0.032158364652384745,40,neutral,0.65
18,5,-0.008736460655927657,0.02147966028665623,40,neutral,0.85
18,6,-0.007591291268666586,0.020618061036887566,40,neutral,0.875
18,7,-0.0013956129550933838,0.008826631340266768,40,neutral,0.975
18,8,-0.022025543451309203,0.03518310382520999,40,neutral,0.625
18,9,-0.025570360571146013,0.03465889928173748,40,neutral,0.525
18,10,0.0,0.0,40,neutral,1.0
18,11,-0.013815772036711374,0.030881129232440022,40,neutral,0.675
18,12,-0.0012670993804931641,0.008013840128293452,40,neutral,0.975
18,13,-0.004042722036441167,0.014391989691699207,40,neutral,0.925
18,14,-0.010049723833799363,0.028472933405715734,40,neutral,0.8
18,15,-0.00839773342013359,0.020609227966558792,40,neutral,0.85
18,16,-0.00972767397761345,0.024396366400163363,40,neutral,0.85
18,17,-0.02136869393289089,0.0440428605139776,40,neutral,0.525
18,18,-0.019391423215468724,0.03261624590726865,40,neutral,0.725
18,19,-0.019784259051084517,0.027481053067968008,40,neutral,0.65
18,20,-0.019211982314785322,0.030404888562987956,40,neutral,0.7
18,21,-0.013042881339788436,0.02457060716166568,40,neutral,0.775
18,22,-0.0034514971077442167,0.015308492793233713,40,neutral,0.95
18,23,-0.014159528662761054,0.02719256614880289,40,neutral,0.775
18,24,-0.020178661247094474,0.029596634435578587,40,neutral,0.675
18,25,0.002936926484107971,0.03456870327763643,40,neutral,0.775
18,26,-0.006794159114360809,0.018229248525632062,40,neutral,0.875
18,27,-0.007569491863250732,0.020428833732528705,40,neutral,0.875
18,28,-0.023102147380510966,0.04442880080110935,40,neutral,0.6
18,29,-0.013948937753836313,0.03307499135939713,40,neutral,0.7
18,30,-0.029233143602808313,0.04185419262556089,40,bridge,0.5
18,31,-0.019076491395632424,0.029954672132564072,40,neutral,0.7
19,0,-0.021767506996790566,0.03052369090478467,40,neutral,0.65
19,1,-0.01953324774901072,0.03273482376404043,40,neutral,0.725
19,2,-0.029854915324184626,0.03422038617574004,40,neutral,0.55
19,3,-0.023305461506048838,0.03269875421668187,40,neutral,0.65
19,4,-0.006938606003920237,0.018652473504909343,40,neutral,0.875
19,5,-0.0014005258679389953,0.008857703329342827,40,neutral,0.975
19,6,-0.00844571366906166,0.020559954443265884,40,neutral,0.85
19,7,-0.002823568880558014,0.012539760262202566,40,neutral,0.95
19,8,-0.00643717497587204,0.019886119395710132,40,neutral,0.9
19,9,-0.002912290394306183,0.02908079404930389,40,neutral,0.85
19,10,-0.0017782732844352721,0.016040745185979127,40,neutral,0.925
19,11,-0.0012657716870307922,0.00800544305754223,40,neutral,0.975
19,12,-0.055303803419783006,0.030455075925565872,40,bridge,0.8
19,13,-0.053877143785357476,0.02852832826512553,40,bridge,0.8
